Transaction,TransactionNumber,TransactionDate,Created At,Account Number,InternalIDAccHeader,Account,Accunt Line,InternalIdAccountline ,Description,Debit,Credit
Bank Deposit,10339,14/04/2022,created on 12/05/2022 18:13:13,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Pembayaran bunga deposito : DR 40382006926-4 KE 40380000197-2,6064110,0
Bank Deposit,10275,18/04/2022,created on 29/04/2022 16:58:16,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,50000000,0
Bank Deposit,10288,18/04/2022,created on 30/04/2022 10:17:01,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - TOLAKAN NUTRIJEL PUDING BELGIAN 1 PCS SNI20220413-230,7500.62,0
Bank Deposit,10289,18/04/2022,created on 30/04/2022 10:17:23,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,16.17,0
Bank Deposit,10318,18/04/2022,created on 01/05/2022 17:44:30,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - KELEBIHAN TRF CUSTOMER INV SNI20220414-309,402853,0
Bank Deposit,10319,18/04/2022,created on 01/05/2022 17:44:43,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.22,0
Bank Deposit,10323,18/04/2022,created on 09/05/2022 17:23:00,1-10102,1115,Bank BCA IDR 2 - Operational,2-20127,212,Corporate Withholding Tax (PPh 23) - Kesalahan Tarif PO GA/18-IV/22/2427,3200,0
Bank Deposit,10330,18/04/2022,created on 10/05/2022 13:53:33,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - Pembulatan,20,0
Bank Deposit,10331,18/04/2022,created on 11/05/2022 12:56:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.42,0
Bank Deposit,10338,18/04/2022,created on 12/05/2022 18:11:56,1-10106,1148,   Bank OCBC Giro Smart,8-80099,626,Other Income. - Pemindahbukuan : SMART BENEFIT CASHBACK MAR 2022,30000,0
Bank Deposit,REQUEST 4025.,19/04/2022,created on 22/04/2022 14:43:25,1-10102,1115,Bank BCA IDR 2 - Operational,1-10421.1,#N/A,Cash Advance - REFUND REQUEST 4025,700000,0
Bank Deposit,10269,19/04/2022,created on 25/04/2022 12:19:52,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - ROUNDING,1.2,0
Bank Deposit,10290,19/04/2022,created on 30/04/2022 10:48:20,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,9.39,0
Bank Deposit,10309,19/04/2022,created on 01/05/2022 17:10:53,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,43.77,0
Bank Deposit,10347,19/04/2022,created on 19/05/2022 16:12:54,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss,1.91,0
Bank Deposit,10291,20/04/2022,created on 30/04/2022 10:51:06,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,947.35,0
Bank Deposit,10328,20/04/2022,created on 09/05/2022 21:05:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),1-10452,987,Prepayment - Salah transfer refund POI2112-49 (RR2204-41),2602600,0
Bank Deposit,10274,21/04/2022,created on 29/04/2022 16:50:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,500000000,0
Bank Deposit,10332,21/04/2022,created on 11/05/2022 12:57:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.31,0
Bank Deposit,10303,22/04/2022,created on 01/05/2022 08:57:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,32.74,0
Bank Deposit,10322,22/04/2022,created on 06/05/2022 08:41:04,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - ROUNDING,0.37,0
Bank Deposit,10327,22/04/2022,created on 09/05/2022 20:59:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - Pembulatan,75,0
Bank Deposit,10329,22/04/2022,created on 10/05/2022 11:53:34,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - rounding,0.08,0
Bank Deposit,10273,25/04/2022,created on 29/04/2022 16:49:17,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,700000000,0
Bank Deposit,10337,25/04/2022,created on 12/05/2022 18:11:17,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,149394,0
Bank Deposit,10304,26/04/2022,created on 01/05/2022 08:58:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,1000,0
Bank Deposit,10305,26/04/2022,created on 01/05/2022 16:29:08,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,19.11,0
Bank Deposit,10306,26/04/2022,created on 01/05/2022 16:30:16,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.28,0
Bank Deposit,10311,26/04/2022,created on 01/05/2022 17:28:22,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,35.63,0
Bank Deposit,10312,26/04/2022,created on 01/05/2022 17:31:02,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.88,0
Bank Deposit,10321,26/04/2022,created on 06/05/2022 08:18:08,1-10102,1115,Bank BCA IDR 2 - Operational,2-20402,1086,Other Current Liabilities - KKA,100000000,0
Bank Deposit,10302,27/04/2022,created on 01/05/2022 08:35:52,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,43.21,0
Bank Deposit,10308,27/04/2022,created on 01/05/2022 16:52:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23.9,0
Bank Deposit,10271,28/04/2022,created on 29/04/2022 16:34:17,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,50000000,0
Bank Deposit,10272,28/04/2022,created on 29/04/2022 16:47:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,600000000,0
Bank Deposit,10293,28/04/2022,created on 30/04/2022 23:21:46,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,31.11,0
Bank Deposit,10307,28/04/2022,created on 01/05/2022 16:41:58,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,42.52,0
Bank Deposit,10333,28/04/2022,created on 11/05/2022 13:00:09,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.5,0
Bank Deposit,10320,29/04/2022,created on 06/05/2022 08:16:37,1-10102,1115,Bank BCA IDR 2 - Operational,8-80001,625,Interest Income - PENDAPATAN BUNGA BANK APRIL 2022,2081.78,0
Bank Deposit,10370,9/5/2022,created on 07/06/2022 16:38:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,40,0
Bank Deposit,10340,10/5/2022,created on 18/05/2022 12:54:14,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.71,0
Bank Deposit,10344,10/5/2022,created on 18/05/2022 13:33:29,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23.76,0
Bank Deposit,10348,10/5/2022,created on 28/05/2022 10:20:39,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - Rounding,0.05,0
Bank Deposit,10341,11/5/2022,created on 18/05/2022 13:27:13,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,82.25,0
Bank Deposit,10342,11/5/2022,created on 18/05/2022 13:28:59,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.89,0
Bank Deposit,10343,11/5/2022,created on 18/05/2022 13:29:35,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,968.53,0
Bank Deposit,10369,11/5/2022,created on 07/06/2022 16:33:26,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,750000000,0
Bank Deposit,10371,11/5/2022,created on 07/06/2022 17:39:38,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.13,0
Bank Deposit,10345,12/5/2022,created on 18/05/2022 13:34:10,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.1,0
Bank Deposit,10346,13/05/2022,created on 19/05/2022 11:00:58,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,4.9,0
Bank Deposit,10381,14/05/2022,created on 21/06/2022 13:43:03,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Pembayaran bunga deposito : DR 40382006926-4 KE 40380000197-2,5753425,0
Bank Deposit,10350,16/05/2022,created on 03/06/2022 09:14:25,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,23.42,0
Bank Deposit,10349,17/05/2022,created on 28/05/2022 11:17:20,1-10102,1115,Bank BCA IDR 2 - Operational,2-20402,1086,Other Current Liabilities - KKA,100000000,0
Bank Deposit,10351,17/05/2022,created on 03/06/2022 09:22:28,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,87.01,0
Bank Deposit,10368,17/05/2022,created on 07/06/2022 16:31:25,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,600000000,0
Bank Deposit,10372,17/05/2022,created on 07/06/2022 17:40:41,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.32,0
Bank Deposit,10353,18/05/2022,created on 03/06/2022 10:16:07,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,49.53,0
Bank Deposit,10367,18/05/2022,created on 07/06/2022 16:30:44,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,300000000,0
Bank Deposit,10373,18/05/2022,created on 07/06/2022 17:43:05,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.13,0
Bank Deposit,10354,19/05/2022,created on 03/06/2022 10:20:43,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20200,1103,Deposits from Customer - KELEBIHAN TRF CUSTOMER NO. INV SNI20220518-596,19999.09,0
Bank Deposit,10352,20/05/2022,created on 03/06/2022 09:34:47,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,236.95,0
Bank Deposit,SAL/13-V/22/2760..,23/05/2022,created on 28/05/2022 11:33:35,1-10102,1115,Bank BCA IDR 2 - Operational,1-10452,987,Prepayment - Refund Pembelian Mobil Grandmax L8985AB untuk Gudang Sedati,88500000,0
Bank Deposit,10360,23/05/2022,created on 03/06/2022 15:44:11,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,19.51,0
Bank Deposit,10380,23/05/2022,created on 21/06/2022 13:40:36,1-10106,1148,   Bank OCBC Giro Smart,8-80099,626,Other Income. - Pemindahbukuan : SMART BENEFIT CASHBACK APR 2022,30000,0
Bank Deposit,10366,24/05/2022,created on 07/06/2022 16:29:54,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,100000000,0
Bank Deposit,10376,24/05/2022,created on 09/06/2022 19:39:11,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.21,0
Bank Deposit,10377,24/05/2022,created on 09/06/2022 19:46:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.83,0
Bank Deposit,10378,24/05/2022,created on 09/06/2022 19:59:22,1-10102,1115,Bank BCA IDR 2 - Operational,9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.65,0
Bank Deposit,10359,25/05/2022,created on 03/06/2022 15:22:50,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,44.98,0
Bank Deposit,10364,25/05/2022,created on 07/06/2022 16:28:42,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,40,0
Bank Deposit,10374,25/05/2022,created on 07/06/2022 17:45:26,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,2.04,0
Bank Deposit,10375,25/05/2022,created on 09/06/2022 19:38:41,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.32,0
Bank Deposit,10379,25/05/2022,created on 21/06/2022 13:39:41,1-10106,1148,   Bank OCBC Giro Smart,8-80001,625,Interest Income - Bunga Rekening,149606,0
Bank Deposit,10355,27/05/2022,created on 03/06/2022 14:29:31,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,16.43,0
Bank Deposit,10363,27/05/2022,created on 06/06/2022 18:04:14,1-10102,1115,Bank BCA IDR 2 - Operational,2-20402,1086,Other Current Liabilities - KKA - TRSF E-BANKING CR 2705/FTSCY/WS95051 125000000.00 KRAKATAU KARYA ABA,125000000,0
Bank Deposit,10356,30/05/2022,created on 03/06/2022 14:52:40,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.65,0
Bank Deposit,10357,30/05/2022,created on 03/06/2022 14:54:51,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,0.61,0
Bank Deposit,10358,30/05/2022,created on 03/06/2022 15:14:00,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,72.97,0
Bank Deposit,10365,30/05/2022,created on 07/06/2022 16:29:19,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),2-20402,1086,Other Current Liabilities - KKA - PINJAMAN DARI KKA,1100000000,0
Bank Deposit,10361,31/05/2022,created on 03/06/2022 17:00:03,1-10101,1114,Bank BCA IDR 1 - Purchase (8887),9-90006,636,Rounding Gain/Loss - PEMBULATAN,29.11,0
Bank Deposit,10362,31/05/2022,created on 06/06/2022 17:59:46,1-10102,1115,Bank BCA IDR 2 - Operational,8-80001,625,Interest Income - PENDAPATAN BUNGA BANK MEI 2022,3934.97,0
